Movie Title,IMDB_Score,IMDB_Votes
Chris D'Elia: Incorrigible,6.4,1535.0
Virunga: Gorillas in Peril,6.6,32.0
Thomas & Friends: Full Steam To The Rescue!,,
Cristina,,
Janoskians: Untold and Untrue,3.7,160.0
Dieter Nuhr: Nuhr in Berlin,4.8,67.0
Santa Banta Pvt Ltd,2.7,282.0
'76,5.6,220.0
Chhota Bheem in African Safari,6.5,12.0
Grandmother's Farm Part 2,5.3,59.0
Jandino: Whatever it Takes,4.5,30.0
The Unmarried Wife,5.8,188.0
The Love Affair,6.2,256.0
Pac’s Scary Halloween,,
,,
Snervous Tyler Oakley,5.4,473.0
Meet The in-Laws,6.0,23.0
Oloibiri,5.1,183.0
A Chaster Marriage,5.4,874.0
Hajwala: The Missing Engine,2.1,250.0
The Arbitration,5.1,121.0
Just the Way You Are,6.3,502.0
The Third Party,6.1,267.0
Lakeeran,6.2,33.0
Love Is a Story,6.0,365.0
A Man Returned,,
Time Out,6.0,399.0
Jada,5.3,157.0
Blade Runner 2049,8.0,539864.0
Sorry to Bother You,6.9,75653.0
Dunkirk,7.8,619645.0
Wind River,7.7,240408.0
Molly's Game,7.4,165817.0
Den of Thieves,7.0,107701.0
